> file from Tom Parsons (USGS - Menlo Park) sent to Carl Tape on 20-March-2008
18.611	35.834
18.614	35.825
18.622	35.820
18.625	35.811
18.625	35.808
18.625	35.802
18.625	35.796
18.629	35.788
18.633	35.773
18.633	35.768
18.633	35.762
18.629	35.756
18.629	35.753
18.629	35.744
18.629	35.739
18.629	35.730
18.629	35.724
18.633	35.718
18.636	35.716
18.636	35.713
18.644	35.707
18.647	35.704
18.651	35.698
18.651	35.695
18.651	35.690
18.655	35.690
18.662	35.678
18.666	35.669
18.666	35.664
18.669	35.655
18.669	35.652
18.673	35.646
18.680	35.640
18.684	35.635
18.688	35.632
18.695	35.629
18.702	35.620
18.710	35.617
18.713	35.614
18.717	35.612
18.717	35.609
18.717	35.606
18.717	35.597
18.717	35.591
18.721	35.583
18.724	35.574
18.728	35.568
18.731	35.562
18.731	35.557
18.731	35.554
18.731	35.545
18.731	35.539
18.731	35.533
18.731	35.525
18.728	35.522
18.728	35.519
18.724	35.516
18.724	35.502
18.724	35.496
18.724	35.490
18.728	35.484
18.728	35.481
18.731	35.476
18.731	35.470
18.731	35.461
18.731	35.455
18.731	35.453
18.728	35.450
18.728	35.447
18.728	35.441
18.728	35.435
18.728	35.432
18.728	35.426
18.731	35.418
18.731	35.415
18.731	35.409
18.735	35.400
18.739	35.389
18.742	35.380
18.742	35.377
18.742	35.374
18.742	35.372
18.746	35.366
18.750	35.354
18.753	35.348
18.761	35.340
18.764	35.334
18.768	35.328
18.768	35.320
18.768	35.314
18.768	35.305
18.768	35.302
18.768	35.296
18.768	35.291
18.768	35.288
18.772	35.288
18.775	35.285
18.775	35.282
18.779	35.279
18.783	35.276
18.786	35.276
18.790	35.268
18.794	35.262
18.794	35.256
18.797	35.250
18.801	35.247
18.801	35.242
18.808	35.233
18.808	35.230
18.812	35.224
18.816	35.218
18.816	35.213
18.816	35.207
18.819	35.201
18.819	35.198
18.823	35.192
18.827	35.187
18.834	35.178
18.845	35.172
18.848	35.169
18.852	35.166
18.852	35.164
18.852	35.158
18.856	35.152
18.859	35.146
18.859	35.143
18.863	35.140
18.870	35.135
18.874	35.132
18.878	35.129
18.870	35.117
18.874	35.117
18.878	35.114
18.881	35.112
18.885	35.103
18.892	35.091
18.900	35.083
18.911	35.074
18.914	35.065
18.925	35.054
18.933	35.039
18.936	35.031
18.944	35.019
18.954	35.010
18.962	35.008
18.969	34.999
18.976	34.996
18.980	34.990
18.987	34.984
18.995	34.976
19.002	34.967
19.017	34.961
19.031	34.950
19.042	34.941
19.057	34.930
19.068	34.921
19.075	34.915
19.079	34.909
19.079	34.907
19.079	34.904
19.086	34.895
19.093	34.883
19.101	34.881
19.108	34.875
19.115	34.869
19.123	34.863
19.126	34.855
19.130	34.846
19.137	34.840
19.137	34.834
19.145	34.829
19.152	34.820
19.159	34.820
19.163	34.817
19.167	34.814
19.170	34.811
19.174	34.803
19.181	34.794
19.181	34.788
19.188	34.777
19.196	34.771
19.203	34.762
19.214	34.753
19.214	34.751
19.214	34.748
19.214	34.745
19.221	34.739
19.225	34.727
19.229	34.722
19.229	34.716
19.225	34.710
19.218	34.704
19.203	34.696
19.203	34.684
19.203	34.675
19.203	34.664
19.203	34.661
19.207	34.652
19.207	34.646
19.207	34.638
19.199	34.632
19.196	34.629
19.192	34.623
19.188	34.617
19.188	34.615
19.188	34.612
19.192	34.603
19.192	34.594
19.192	34.583
19.192	34.577
19.188	34.571
19.181	34.560
19.177	34.551
19.177	34.545
19.181	34.534
19.188	34.528
19.192	34.522
